Date,Open,High,Low,Close,Volume,Adj Close
2016-07-22,7920,8000,7900,7910,11494,7910
2016-07-21,8230,8240,8170,8180,33629,8180
2016-07-20,8000,8030,7940,8030,53906,8030
2016-07-19,8000,8000,7890,7920,48053,7920
2016-07-15,7630,7760,7600,7650,95725,7650
2016-07-14,7590,7700,7570,7680,34898,7680
2016-07-13,7570,7590,7530,7580,203268,7580
2016-07-12,7220,7330,7220,7280,57869,7280
2016-07-11,7110,7310,7110,7260,115069,7260
2016-07-08,6660,6680,6540,6600,69613,6600
2016-07-07,6610,6670,6560,6560,34969,6560
2016-07-06,6420,6420,6120,6360,70051,6360
2016-07-05,6610,6610,6450,6480,32376,6480
2016-07-04,6580,6700,6540,6700,51607,6700
2016-07-01,6460,6520,6450,6480,112803,6480
2016-06-30,6400,6430,6290,6300,156533,6300
2016-06-29,6000,6160,5980,6130,229075,6130
2016-06-28,5350,5550,5270,5500,159411,5500
2016-06-27,5430,5450,5310,5450,325466,5450
2016-06-24,7800,7890,5860,5860,174918,5860
2016-06-23,7340,7400,7310,7360,65530,7360
2016-06-22,7440,7490,7360,7430,29647,7430
2016-06-21,7480,7560,7400,7500,78825,7500
2016-06-20,7300,7490,7300,7490,51529,7490
2016-06-17,6960,7100,6960,7100,37396,7100
2016-06-16,6870,6940,6610,6670,69729,6670
2016-06-15,6740,6850,6720,6820,75212,6820
2016-06-14,6640,6690,6560,6610,99719,6610
2016-06-13,7780,7820,7500,7540,67533,7540
2016-06-10,8690,8720,8640,8660,7450,8660
2016-06-09,8820,8860,8730,8800,17672,8800
2016-06-08,8900,8970,8840,8970,18892,8970
2016-06-07,8950,9070,8920,9060,56102,9060
2016-06-06,8680,8800,8680,8800,21572,8800
2016-06-03,8860,8920,8840,8900,71792,8900
2016-06-02,8750,8760,8550,8590,20481,8590
2016-06-01,8810,8860,8670,8680,83542,8680
2016-05-31,8800,8940,8790,8920,33888,8920
2016-05-30,8800,8970,8790,8970,66424,8970
2016-05-27,8490,8540,8480,8540,66070,8540
2016-05-26,8360,8370,8230,8270,122122,8270
2016-05-25,8230,8260,8200,8240,256791,8240
2016-05-24,7790,7840,7780,7780,26778,7780
2016-05-23,7910,7940,7820,7890,31857,7890
2016-05-20,7650,7800,7640,7800,31670,7800
2016-05-19,7640,7690,7510,7540,8205,7540
2016-05-18,7640,7690,7570,7630,34421,7630
2016-05-17,7840,7940,7800,7940,73500,7940
2016-05-16,7530,7710,7520,7710,34366,7710
2016-05-13,7830,7830,7660,7680,25854,7680
2016-05-12,7620,7760,7610,7720,40828,7720
2016-05-11,8040,8060,7920,7930,113566,7930
2016-05-10,7590,7780,7570,7780,38213,7780
2016-05-09,7470,7550,7440,7500,60144,7500
2016-05-06,7060,7120,7040,7100,30219,7100
2016-05-02,6980,7040,6930,7000,53667,7000
2016-04-28,8050,8080,7640,7660,161387,7660
2016-04-27,7700,7740,7700,7730,74109,7730
2016-04-26,7660,7740,7610,7670,68704,7670
2016-04-25,7720,7750,7590,7680,80478,7680
2016-04-22,7320,7480,7290,7470,44882,7470
2016-04-21,7530,7620,7470,7590,77769,7590
2016-04-20,7560,7580,7380,7380,52066,7380
2016-04-19,7560,7630,7550,7590,211016,7590
2016-04-18,6930,6950,6840,6890,55668,6890
2016-04-15,7160,7200,7130,7180,41303,7180
2016-04-14,7070,7100,7010,7060,82336,7060
2016-04-13,6750,6840,6720,6830,48033,6830
2016-04-12,6380,6510,6380,6480,5806,6480
2016-04-11,6610,6610,6450,6560,40317,6560
2016-04-08,6440,6650,6440,6610,57699,6610
2016-04-07,7130,7180,7060,7080,63828,7080
2016-04-06,6810,6930,6780,6870,54645,6870
2016-04-05,7160,7160,7000,7020,55007,7020
2016-04-04,7380,7450,7340,7410,95439,7410
2016-04-01,7270,7270,7090,7100,101799,7100
2016-03-31,7270,7300,7240,7270,119616,7270
2016-03-30,7230,7240,7160,7180,173827,7180
2016-03-29,6840,6930,6840,6920,68186,6920
2016-03-28,6800,6860,6800,6820,42033,6820
2016-03-25,6770,6800,6740,6780,26107,6780
2016-03-24,6620,6680,6580,6610,42529,6610
2016-03-23,6910,6950,6870,6910,108386,6910
2016-03-22,6870,6920,6800,6880,168609,6880
2016-03-18,6600,6610,6520,6570,209890,6570
2016-03-17,6450,6570,6440,6480,114384,6480
2016-03-16,6250,6300,6240,6300,73758,6300
2016-03-15,6340,6350,6240,6270,68571,6270
2016-03-14,6250,6300,6230,6230,137287,6230
2016-03-11,5920,6180,5920,6150,69335,6150
2016-03-10,5930,5990,5890,5980,27920,5980
2016-03-09,5730,5760,5700,5760,37648,5760
2016-03-08,6050,6080,5860,5930,79775,5930
2016-03-07,6020,6030,5980,6010,131820,6010
2016-03-04,6140,6160,6110,6160,173776,6160
2016-03-03,5870,5960,5870,5950,56742,5950
2016-03-02,5840,5890,5820,5890,153251,5890
2016-03-01,5330,5330,5190,5270,29349,5270
2016-02-29,5470,5490,5320,5340,36166,5340
2016-02-26,5540,5560,5510,5510,63213,5510
2016-02-25,5330,5370,5290,5360,41221,5360
2016-02-24,5180,5240,5150,5170,42773,5170
2016-02-23,5530,5570,5400,5420,138596,5420
2016-02-22,5210,5340,5200,5340,44221,5340
2016-02-19,5160,5160,5070,5150,68722,5150
2016-02-18,5120,5210,5080,5190,315152,5190
2016-02-17,4995,5030,4900,4915,85020,4915
2016-02-16,4960,5040,4960,4995,62202,4995
2016-02-15,4815,4920,4800,4920,63503,4920
2016-02-12,4525,4590,4485,4530,122067,4530
2016-02-10,4960,4985,4835,4865,72103,4865
2016-02-09,5050,5090,4880,4900,130705,4900
2016-02-08,5320,5460,5300,5420,55681,5420
2016-02-05,5520,5580,5490,5530,39805,5530
2016-02-04,5670,5800,5650,5720,30592,5720
2016-02-03,5680,5700,5560,5620,49221,5620
2016-02-02,6100,6110,5980,5980,46369,5980
2016-02-01,6150,6190,6050,6130,110674,6130
2016-01-29,5690,5990,5620,5890,200727,5890
2016-01-28,5590,5730,5520,5600,65291,5600
2016-01-27,5730,5740,5580,5690,126013,5690
2016-01-26,5500,5550,5450,5490,78494,5490
2016-01-25,5850,5980,5820,5970,149287,5970
2016-01-22,5390,5600,5320,5580,139755,5580
2016-01-21,5430,5510,5190,5210,143926,5210
2016-01-20,5530,5570,5130,5140,150928,5140
2016-01-19,5540,5770,5470,5770,83114,5770
2016-01-18,5390,5560,5340,5550,195584,5550
2016-01-15,6140,6140,5860,5890,132628,5890
2016-01-14,5860,5990,5790,5990,371407,5990
2016-01-13,6530,6790,6520,6790,121788,6790
2016-01-12,6320,6360,6110,6160,221125,6160
2016-01-08,6430,6820,6360,6730,485686,6730
2016-01-07,7310,7360,6870,6920,291436,6920
2016-01-06,7570,7570,7290,7400,93736,7400
2016-01-05,7500,7610,7460,7520,219397,7520
2016-01-04,7930,7970,7550,7630,105521,7630
2015-12-30,8230,8240,8180,8200,124243,8200
2015-12-29,8080,8100,8040,8090,122183,8090
2015-12-28,7900,7980,7850,7860,41020,7860
2015-12-25,7920,7980,7850,7850,93360,7850
2015-12-24,8100,8140,7980,7980,255876,7980
2015-12-22,7810,7860,7750,7790,168994,7790
2015-12-21,7440,7600,7410,7600,282455,7600
2015-12-18,7850,8060,7710,7790,170485,7790
2015-12-17,8250,8270,8130,8270,236639,8270
2015-12-16,7910,8000,7890,7970,254119,7970
2015-12-15,7480,7510,7370,7410,191715,7410
2015-12-14,7070,7290,7050,7290,726586,7290
2015-12-11,8340,8440,8330,8400,110981,8400
2015-12-10,8820,8820,8370,8550,179234,8550
2015-12-09,8910,8970,8890,8970,98436,8970
2015-12-08,9250,9280,9090,9100,54344,9100
2015-12-07,9320,9400,9320,9350,187594,9350
2015-12-04,8850,8900,8800,8870,231689,8870
2015-12-03,9360,9450,9350,9430,37002,9430
2015-12-02,9560,9590,9540,9580,109027,9580
2015-12-01,9220,9360,9220,9360,40772,9360
2015-11-30,9110,9160,9060,9090,26928,9090
2015-11-27,9260,9340,9180,9260,58814,9260
2015-11-26,9230,9240,9210,9220,70455,9220
2015-11-25,8980,9040,8940,9010,19684,9010
2015-11-24,9130,9150,9070,9070,170481,9070
2015-11-20,8720,8750,8660,8750,32346,8750
2015-11-19,8930,8940,8860,8920,96668,8920
2015-11-18,8570,8630,8500,8560,67580,8560
2015-11-17,8770,8940,8750,8890,190552,8890
2015-11-16,7940,8100,7910,8070,236857,8070
2015-11-13,8950,8950,8720,8780,145420,8780
2015-11-12,9440,9580,9440,9550,19026,9550
2015-11-11,9650,9710,9610,9630,16310,9630
2015-11-10,9410,9570,9390,9570,64028,9570
2015-11-09,9900,9990,9890,9990,122257,9990
2015-11-06,9650,9690,9590,9690,36229,9690
2015-11-05,9440,9500,9370,9500,16153,9500
2015-11-04,9630,9740,9620,9640,96005,9640
2015-11-02,9360,9360,9200,9230,29034,9230
2015-10-30,9610,9740,9610,9730,65063,9730
2015-10-29,9650,9670,9540,9560,93696,9560
2015-10-28,9430,9480,9390,9430,57505,9430
2015-10-27,9260,9320,9080,9180,29401,9180
2015-10-26,9530,9550,9260,9260,76082,9260
2015-10-23,9810,9850,9630,9650,163714,9650
2015-10-22,9070,9150,9010,9110,96946,9110
2015-10-21,9410,9760,9410,9650,67059,9650
2015-10-20,9720,9850,9720,9820,248446,9820
2015-10-19,9230,9310,9120,9120,67440,9120
2015-10-16,9210,9230,9160,9170,146541,9170
2015-10-15,8600,9110,8560,8820,64596,8820
2015-10-14,8580,8700,8540,8640,68104,8640
2015-10-13,9300,9370,9170,9220,201991,9220
2015-10-09,8610,8770,8610,8740,123909,8740
2015-10-08,8380,8450,8180,8240,88343,8240
2015-10-07,8060,8250,8010,8250,37997,8250
2015-10-06,8240,8270,8090,8150,134615,8150
2015-10-05,7900,7920,7760,7870,67635,7870
2015-10-02,7500,7660,7500,7620,32494,7620
2015-10-01,7400,7670,7350,7570,56572,7570
2015-09-30,7190,7380,7150,7380,67507,7380
2015-09-29,7170,7170,7000,7050,119663,7050
2015-09-28,7600,7700,7450,7700,81315,7700
2015-09-25,7920,8150,7770,8000,118198,8000
2015-09-24,7950,8150,7800,7940,91053,7940
2015-09-18,8790,8790,8580,8690,160041,8690
2015-09-17,9040,9250,9020,9160,168731,9160
2015-09-16,8500,8660,8450,8560,137198,8560
2015-09-15,7720,7850,7700,7830,36662,7830
2015-09-14,7980,7980,7670,7670,68862,7670
2015-09-11,7650,7790,7600,7700,71768,7700
2015-09-10,7400,7610,7300,7590,89586,7590
2015-09-09,7650,8070,7530,8070,89632,8070
2015-09-08,7110,7220,6950,7140,35918,7140
2015-09-07,7000,7250,6750,7150,81174,7150
2015-09-04,7600,7610,7250,7400,163736,7400
2015-09-03,8000,8020,7540,7650,115474,7650
2015-09-02,7080,7630,7000,7400,222750,7400
2015-09-01,8040,8100,7240,7530,168423,7530
2015-08-31,8200,8730,8200,8450,141594,8450
2015-08-28,10110,10410,9230,9250,108387,9250
2015-08-27,10850,11490,10040,10100,160709,10100
2015-08-26,9490,10840,9150,10840,138387,10840
2015-08-25,9150,9980,8880,9340,349604,9340
2015-08-24,11300,11390,10050,10050,184513,10050
2015-08-21,13320,13320,13020,13050,116743,13050
2015-08-20,14630,14800,14500,14790,36910,14790
2015-08-19,14910,15070,14790,14790,6843,14790
2015-08-18,15090,15120,15080,15080,13369,15080
2015-08-17,15040,15040,14920,14960,3569,14960
2015-08-14,14920,15040,14690,14940,4341,14940
2015-08-13,14940,15070,14790,15010,15296,15010
2015-08-12,15130,15130,14410,14600,33584,14600
2015-08-11,15400,15450,14990,15050,53312,15050
2015-08-10,14910,15200,14910,15140,3379,15140
2015-08-07,14940,14980,14800,14920,7476,14920
2015-08-06,15190,15190,15060,15080,23544,15080
2015-08-05,15140,15140,14990,14990,798,14990
2015-08-04,15100,15180,15070,15120,5383,15120
2015-08-03,15040,15040,14810,14860,15307,14860
2015-07-31,14980,15050,14950,15010,15923,15010
2015-07-30,14880,14930,14810,14860,10391,14860
2015-07-29,14600,14700,14580,14580,24460,14580
2015-07-28,13750,14230,13550,14220,56411,14220
2015-07-27,14380,14490,14280,14470,28297,14470
2015-07-24,14800,15100,14800,14860,14841,14860
2015-07-23,15080,15190,15050,15050,27241,15050
2015-07-22,14850,14850,14550,14590,10596,14590
2015-07-21,15000,15100,14980,15090,13916,15090
2015-07-17,14680,14800,14650,14700,31722,14700
2015-07-16,13990,14310,13960,14250,24572,14250
2015-07-15,13630,13800,13610,13640,42660,13640
2015-07-14,13490,13600,13110,13530,88923,13530
2015-07-13,12340,12410,11950,12290,6782,12290
2015-07-10,11600,12060,11600,12040,49123,12040
2015-07-09,11510,12680,11220,12040,79664,12040
2015-07-08,12890,12890,12130,12130,35761,12130
2015-07-07,12400,12700,12380,12590,68425,12590
2015-07-06,11650,12150,11350,11730,81947,11730
2015-07-03,12800,13150,12630,13150,47154,13150
2015-07-02,13390,13510,13360,13430,28432,13430
2015-07-01,12640,12870,12630,12790,14601,12790
2015-06-30,13150,13150,12650,12870,53778,12870
2015-06-29,13690,13860,13110,13450,32785,13450
2015-06-26,15160,15160,14970,15040,9178,15040
2015-06-25,15280,15310,15200,15290,5836,15290
2015-06-24,15470,15600,15470,15590,9171,15590
2015-06-23,15000,15240,14990,15210,29438,15210
2015-06-22,14480,14500,14410,14500,3539,14500
2015-06-19,14530,14570,14450,14560,28789,14560
2015-06-18,14150,14200,13910,13970,2220,13970
2015-06-17,14110,14200,14100,14100,1986,14100
2015-06-16,13950,13990,13890,13950,17603,13950
2015-06-15,14290,14410,14280,14410,8504,14410
2015-06-12,14740,14770,14630,14710,9110,14710
2015-06-11,14370,14480,14370,14420,9758,14420
2015-06-10,13950,14120,13870,13910,2568,13910
2015-06-09,13860,13860,13750,13770,8197,13770
2015-06-08,14180,14190,14090,14190,2741,14190
2015-06-05,14000,14050,13960,14050,1836,14050
2015-06-04,14450,14450,14260,14290,2957,14290
2015-06-03,14140,14140,14040,14100,6214,14100
2015-06-02,14450,14450,14320,14340,1784,14340
2015-06-01,14220,14400,14220,14400,10810,14400
2015-05-29,14280,14380,14230,14350,14394,14350
2015-05-28,14350,14430,14270,14360,18260,14360
2015-05-27,13920,13950,13850,13900,9326,13900
2015-05-26,14170,14200,14110,14200,19108,14200
2015-05-25,14210,14260,14150,14240,6706,14240
2015-05-22,14120,14270,14120,14260,4486,14260
2015-05-21,13630,13730,13630,13730,15157,13730
2015-05-20,13690,13780,13650,13770,6675,13770
2015-05-19,13400,13530,13400,13460,46036,13460
2015-05-18,13010,13040,12910,13030,17266,13030
2015-05-15,12870,12920,12860,12900,262,12900
2015-05-14,12630,12630,12570,12570,61,12570
2015-05-13,12570,12650,12550,12630,1419,12630
2015-05-12,12420,12420,12350,12400,844,12400
2015-05-11,12600,12710,12600,12710,327,12710
2015-05-08,12140,12230,12110,12200,144,12200
2015-05-07,11940,12010,11880,11880,382,11880
2015-05-01,12020,12150,12020,12150,475,12150
2015-04-30,12240,12280,12130,12210,609,12210
2015-04-28,12370,12370,12300,12310,16324,12310
2015-04-27,12510,12540,12510,12540,1912,12540
2015-04-24,12510,12610,12510,12570,325,12570
2015-04-23,12390,12430,12340,12340,6249,12340
2015-04-22,12380,12380,12270,12270,1446,12270
2015-04-21,12170,12350,12170,12340,528,12340
2015-04-20,11860,12030,11860,11950,4383,11950
2015-04-17,12290,12290,12080,12080,22966,12080
