Date,Open,High,Low,Close,Volume,Adj Close,Ratio
2016-12-01,12300,12350,12240,12240,13711,12240,0.06823027718550101
2016-11-30,12180,12210,12070,12200,29825,12200,0.09002250562640657
2016-11-29,12000,12090,11990,12000,13901,12000,0.10697674418604652
2016-11-28,12150,12150,11900,12060,30331,12060,0.09733840304182495
2016-11-25,12210,12280,12120,12200,32215,12200,0.16045380875202597
2016-11-24,12070,12110,12040,12070,37025,12070,0.15390813859790486
2016-11-22,11860,12080,11840,12020,35805,12020,0.1627719580983078
2016-11-21,11510,11620,11470,11560,17763,11560,0.1650563607085347
2016-11-18,11330,11390,11280,11300,23220,11300,0.1649805447470818
2016-11-17,10970,11050,10850,11000,16016,11000,0.12584269662921344
2016-11-16,11010,11150,11010,11030,77693,11030,0.13483965014577248
2016-11-15,10500,10650,10480,10640,40255,10640,-0.012715033657441976
2016-11-14,10420,10610,10400,10550,88623,10550,-0.0006906077348066697
2016-11-11,10140,10190,9970,10060,192221,10060,0.053634438955539876
2016-11-10,9870,9870,9870,9870,70031,9870,0.03934871099050197
2016-11-09,10110,10360,8370,8370,209794,8370,0.03477051460361613
2016-11-08,9760,9920,9690,9870,58187,9870,-0.14781216648879392
2016-11-07,9520,9640,9370,9590,92391,9590,-0.14377333745448095
2016-11-04,8660,8850,8520,8630,107655,8630,-0.14171479342514448
2016-11-02,9400,9450,9110,9110,76616,9110,-0.04140786749482406
2016-11-01,9680,9860,9650,9820,29570,9820,-0.03987063792406442
2016-10-31,9790,10120,9780,10120,53792,10120,0.009964889212479067
2016-10-28,10260,10350,10260,10330,19020,10330,0.026559541287242583
2016-10-27,10420,10480,10360,10470,23851,10470,0.04622395833333348
2016-10-26,10500,10570,10450,10570,26482,10570,0.09691011235955038
2016-10-25,10800,10850,10800,10830,33643,10830,0.13075780089153044
2016-10-24,10350,10380,10280,10380,47182,10380,0.14669738863287263
2016-10-21,10190,10240,9970,9980,54362,9980,0.16716641679160427
2016-10-20,9980,10050,9960,10000,70206,10000,0.14763636363636357
2016-10-19,9760,9830,9740,9800,13668,9800,0.11519777931991682
2016-10-18,9500,9620,9470,9530,15571,9530,0.02617801047120416
2016-10-17,9360,9400,9240,9320,5006,9320,0.019124060402471388
2016-10-14,9270,9370,9230,9340,12761,9340,0.03101730576815709
2016-10-13,9530,9550,9160,9160,44679,9160,0.01977225765295021
2016-10-12,9660,9750,9590,9680,23278,9680,0.025769956002514194
2016-10-11,10100,10140,9990,10020,18315,10020,0.02994791666666674
2016-10-07,9900,9910,9830,9840,19828,9840,0.13649851632047483
2016-10-06,9850,9880,9800,9800,25058,9800,0.16588785046728982
2016-10-05,9680,9730,9650,9730,21274,9730,0.16397228637413397
2016-10-04,9570,9690,9570,9690,19178,9690,0.12399119589141594
2016-10-03,9470,9510,9410,9430,19623,9430,0.14001473839351508
2016-09-30,9180,9220,9040,9090,32805,9090,0.1873589164785554
2016-09-29,9620,9700,9580,9680,20521,9680,0.1362339514978601
2016-09-28,9410,9410,9300,9360,20380,9360,0.22841000807102496
2016-09-27,9070,9420,8970,9410,28135,9410,0.18549618320610683
2016-09-26,9530,9590,9340,9340,17114,9340,0.12206896551724133
2016-09-23,9600,9670,9570,9670,109025,9670,0.2668836452400327
2016-09-21,8630,8930,8580,8860,20823,8860,0.20827067669172927
2016-09-20,8750,8900,8750,8850,69878,8850,-0.002512562814070307
2016-09-16,8340,8340,8220,8240,26219,8240,0.042290175666883645
2016-09-15,8130,8180,8000,8060,32457,8060,0.047239328051492446
2016-09-14,8280,8470,8250,8390,80959,8390,0.013230485845120432
2016-09-13,9090,9090,8920,8920,49807,8920,-0.00448179271708693
2016-09-12,8630,8720,8340,8480,92072,8480,0.01055408970976246
2016-09-09,10190,10220,10170,10190,7880,10190,-0.058285714285714274
2016-09-08,10220,10260,10200,10220,39900,10220,0.0695443645083933
2016-09-07,10100,10140,10090,10130,7016,10130,0.10720268006700184
2016-09-06,10030,10060,10000,10040,16722,10040,0.11314475873544105
2016-09-05,10090,10150,10030,10060,19847,10060,0.162771285475793
2016-09-02,9650,9660,9590,9630,22651,9630,0.162771285475793
2016-09-01,9620,9720,9620,9690,11713,9690,0.08086053412462912
2016-08-31,9610,9640,9600,9620,29480,9620,0.08569299552906107
2016-08-30,9450,9500,9450,9460,16948,9460,0.10746951219512191
2016-08-29,9230,9320,9230,9250,5584,9250,0.13446676970633686
2016-08-26,9230,9230,9170,9220,5781,9220,0.10769230769230753
2016-08-25,9080,9120,9050,9100,8192,9100,0.09831254585473226
2016-08-24,9360,9400,9290,9300,5946,9300,0.12416356877323431
2016-08-23,9280,9360,9280,9290,4722,9290,0.18578352180936974
2016-08-22,9380,9390,9270,9280,19827,9280,0.19967400162999205
2016-08-19,9400,9460,9370,9400,35330,9400,0.29453262786596124
2016-08-18,9250,9350,9220,9270,26404,9270,0.27471566054243235
2016-08-17,9010,9200,9010,9150,17988,9150,0.21575061525840855
2016-08-16,9420,9420,9270,9290,41666,9290,0.014240506329114
2016-08-15,9340,9430,9340,9390,22527,9390,0.03471634208298058
2016-08-12,9340,9350,9300,9320,11547,9320,0.06666666666666665
2016-08-10,9340,9350,9300,9300,57473,9300,0.06887966804979251
2016-08-09,9270,9370,9270,9340,74336,9340,0.061749571183533414
2016-08-08,9120,9150,9070,9130,66608,9130,0.08434782608695657
2016-08-05,8730,8770,8720,8720,13059,8720,0.1308165057067603
2016-08-04,8520,8580,8490,8520,14099,8520,0.0813204508856682
2016-08-03,8230,8300,8150,8150,26051,8150,0.0746500777604977
2016-08-02,8730,8810,8710,8750,21985,8750,0.06357516828721033
2016-08-01,8660,8840,8660,8790,76063,8790,0.094855305466238
2016-07-29,8520,8600,8220,8460,90638,8460,0.16427969671440623
2016-07-28,8360,8410,8340,8400,43217,8400,0.13050314465408808
2016-07-27,8190,8320,8170,8280,28856,8280,0.151987529228371
2016-07-26,8120,8150,7940,8020,49085,8020,0.16321839080459766
2016-07-25,8150,8270,8120,8120,36216,8120,0.1903651903651904
2016-07-22,7920,8000,7900,7910,11494,7910,0.2795341098169719
2016-07-21,8230,8240,8170,8180,33629,8180,0.2417582417582418
2016-07-20,8000,8030,7940,8030,53906,8030,0.3143585386576042
2016-07-19,8000,8000,7890,7920,48053,7920,0.02088554720133673
2016-07-15,7630,7760,7600,7650,95725,7650,0.09076558800315704
2016-07-14,7590,7700,7570,7680,34898,7680,0.09438377535101394
2016-07-13,7570,7590,7530,7580,203268,7580,0.08742331288343563
2016-07-12,7220,7330,7220,7280,57869,7280,0.05387453874538739
2016-07-11,7110,7310,7110,7260,115069,7260,0.07976366322008865
2016-07-08,6660,6680,6540,6600,69613,6600,0.11969696969696964
2016-07-07,6610,6670,6560,6560,34969,6560,0.0792682926829269
2016-07-06,6420,6420,6120,6360,70051,6360,0.08155080213903743
2016-07-05,6610,6610,6450,6480,32376,6480,0.07958921694480114
2016-07-04,6580,6700,6540,6700,51607,6700,0.12863913337847
2016-07-01,6460,6520,6450,6480,112803,6480,0.13540961408259977
2016-06-30,6400,6430,6290,6300,156533,6300,0.0863723608445297
2016-06-29,6000,6160,5980,6130,229075,6130,0.05048083236062695
2016-06-28,5350,5550,5270,5500,159411,5500,0.006933333333333236
2016-06-27,5430,5450,5310,5450,325466,5450,-0.008385744234800985
2016-06-24,7800,7890,5860,5860,174918,5860,-0.12072981366459634
2016-06-23,7340,7400,7310,7360,65530,7360,-0.03304347826086962
2016-06-22,7440,7490,7360,7430,29647,7430,-0.08219178082191791
2016-06-21,7480,7560,7400,7500,78825,7500,0.010822510822510845
2016-06-20,7300,7490,7300,7490,51529,7490,0.005987969189549691
2016-06-17,6960,7100,6960,7100,37396,7100,0.03400309119010814
2016-06-16,6870,6940,6610,6670,69729,6670,0.033556993621218556
2016-06-15,6740,6850,6720,6820,75212,6820,0.02135059688930485
2016-06-14,6640,6690,6560,6610,99719,6610,0.0034146341463414664
2016-06-13,7780,7820,7500,7540,67533,7540,0.01669055873583991
2016-06-10,8690,8720,8640,8660,7450,8660,0.02877269355415768
2016-06-09,8820,8860,8730,8800,17672,8800,0.05669398907103829
2016-06-08,8900,8970,8840,8970,18892,8970,0.06321022727272729
2016-06-07,8950,9070,8920,9060,56102,9060,0.04768683274021357
2016-06-06,8680,8800,8680,8800,21572,8800,0.06007326007326008
2016-06-03,8860,8920,8840,8900,71792,8900,0.09279881217520414
2016-06-02,8750,8760,8550,8590,20481,8590,0.08730741012472487
2016-06-01,8810,8860,8670,8680,83542,8680,0.07605633802816891
2016-05-31,8800,8940,8790,8920,33888,8920,0.0768146582100071
2016-05-30,8800,8970,8790,8970,66424,8970,0.1722560975609757
2016-05-27,8490,8540,8480,8540,66070,8540,0.1722560975609757
2016-05-26,8360,8370,8230,8270,122122,8270,0.1779597915115414
2016-05-25,8230,8260,8200,8240,256791,8240,0.16402877697841722
2016-05-24,7790,7840,7780,7780,26778,7780,0.1428571428571428
2016-05-23,7910,7940,7820,7890,31857,7890,0.11061946902654873
2016-05-20,7650,7800,7640,7800,31670,7800,0.13947368421052642
2016-05-19,7640,7690,7510,7540,8205,7540,0.1010410287813841
2016-05-18,7640,7690,7570,7630,34421,7630,0.13291536050156738
2016-05-17,7840,7940,7800,7940,73500,7940,-0.008991650610147728
2016-05-16,7530,7710,7520,7710,34366,7710,0.029972752043596618
2016-05-13,7830,7830,7660,7680,25854,7680,0.05585106382978733
2016-05-12,7620,7760,7610,7720,40828,7720,0.056210964607911196
2016-05-11,8040,8060,7920,7930,113566,7930,0.06330837304288628
2016-05-10,7590,7780,7570,7780,38213,7780,0.06603081438004388
2016-05-09,7470,7550,7440,7500,60144,7500,0.061770761839396116
2016-05-06,7060,7120,7040,7100,30219,7100,0.06793478260869557
2016-05-02,6980,7040,6930,7000,53667,7000,0.07493188010899177
2016-04-28,8050,8080,7640,7660,161387,7660,0.08278580814717484
2016-04-27,7700,7740,7700,7730,74109,7730,0.1234567901234569
2016-04-26,7660,7740,7610,7670,68704,7670,0.14111747851002865
2016-04-25,7720,7750,7590,7680,80478,7680,0.15269886363636376
2016-04-22,7320,7480,7290,7470,44882,7470,0.22390317700453854
2016-04-21,7530,7620,7470,7590,77769,7590,0.2021505376344086
2016-04-20,7560,7580,7380,7380,52066,7380,0.23719879518072284
2016-04-19,7560,7630,7550,7590,211016,7590,0.0007552870090634656
2016-04-18,6930,6950,6840,6890,55668,6890,0.03520599250936329
2016-04-15,7160,7200,7130,7180,41303,7180,0.08076358296622632
2016-04-14,7070,7100,7010,7060,82336,7060,0.06997084548104948
2016-04-13,6750,6840,6720,6830,48033,6830,0.07080924855491322
2016-04-12,6380,6510,6380,6480,5806,6480,0.07272727272727275
2016-04-11,6610,6610,6450,6560,40317,6560,0.04981549815498143
2016-04-08,6440,6650,6440,6610,57699,6610,0.0859375
2016-04-07,7130,7180,7060,7080,63828,7080,0.06868811881188108
2016-04-06,6810,6930,6780,6870,54645,6870,0.1085876508161816
2016-04-05,7160,7160,7000,7020,55007,7020,0.08754863813229563
2016-04-04,7380,7450,7340,7410,95439,7410,0.12818696883852687
2016-04-01,7270,7270,7090,7100,101799,7100,0.1778625954198474
2016-03-31,7270,7300,7240,7270,119616,7270,0.14193548387096788
2016-03-30,7230,7240,7160,7180,173827,7180,0.16887905604719755
2016-03-29,6840,6930,6840,6920,68186,6920,0.16280752532561515
2016-03-28,6800,6860,6800,6820,42033,6820,0.12335958005249359
2016-03-25,6770,6800,6740,6780,26107,6780,0.179104477612
2016-03-24,6620,6680,6580,6610,42529,6610,0.17910447761194015
2016-03-23,6910,6950,6870,6910,108386,6910,0.18674698795180733
2016-03-22,6870,6920,6800,6880,168609,6880,0.18701482004234293
2016-03-18,6600,6610,6520,6570,209890,6570,0.2646219686162625
2016-03-17,6450,6570,6440,6480,114384,6480,0.23060941828254844
2016-03-16,6250,6300,6240,6300,73758,6300,0.21881254169446285
2016-03-15,6340,6350,6240,6270,68571,6270,0.0035629453681709222
2016-03-14,6250,6300,6230,6230,137287,6230,0.030141843971631
2016-03-11,5920,6180,5920,6150,69335,6150,0.06787878787878787
2016-03-10,5930,5990,5890,5980,27920,5980,0.049861554008950426
2016-03-09,5730,5760,5700,5760,37648,5760,0.03980370774263897
2016-03-08,6050,6080,5860,5930,79775,5930,0.050883770755222324
2016-03-07,6020,6030,5980,6010,131820,6010,0.07031700288184428
2016-03-04,6140,6160,6110,6160,173776,6160,0.12277573411769072
2016-03-03,5870,5960,5870,5950,56742,5950,0.09700592233497463
2016-03-02,5840,5890,5820,5890,153251,5890,0.1275599765944997
2016-03-01,5330,5330,5190,5270,29349,5270,0.09774005097513827
2016-02-29,5470,5490,5320,5340,36166,5340,0.059367448144401314
2016-02-26,5540,5560,5510,5510,63213,5510,0.08430091288747676
2016-02-25,5330,5370,5290,5360,41221,5360,0.08948188961371595
2016-02-24,5180,5240,5150,5170,42773,5170,0.05067572638396367
2016-02-23,5530,5570,5400,5420,138596,5420,0.057197330791229684
2016-02-22,5210,5340,5200,5340,44221,5340,0.08462337897953454
2016-02-19,5160,5160,5070,5150,68722,5150,0.09011197807540272
2016-02-18,5120,5210,5080,5190,315152,5190,0.05221816322634765
2016-02-17,4995,5030,4900,4915,85020,4915,0.027790274665633108
2016-02-16,4960,5040,4960,4995,62202,4995,0.025715428215867808
2016-02-15,4815,4920,4800,4920,63503,4920,-0.051968503937007915
2016-02-12,4525,4590,4485,4530,122067,4530,0.058267716535433056
2016-02-10,4960,4985,4835,4865,72103,4865,-0.0007607835389584761
2016-02-09,5050,5090,4880,4900,130705,4900,-0.01582520663808562
2016-02-08,5320,5460,5300,5420,55681,5420,-0.021923076923076934
2016-02-05,5520,5580,5490,5530,39805,5530,0.03165102787215712
2016-02-04,5670,5800,5650,5720,30592,5720,0.05631868131868134
2016-02-03,5680,5700,5560,5620,49221,5620,0.051732101616628334
2016-02-02,6100,6110,5980,5980,46369,5980,0.05459508644222022
2016-02-01,6150,6190,6050,6130,110674,6130,0.077077077077077
2016-01-29,5690,5990,5620,5890,200727,5890,0.07029697671797153
2016-01-28,5590,5730,5520,5600,65291,5600,0.037912578055307566
2016-01-27,5730,5740,5580,5690,126013,5690,0.028559020832582327
2016-01-26,5500,5550,5450,5490,78494,5490,0.01911111111111108
2016-01-25,5850,5980,5820,5970,149287,5970,-0.0053830227743271175
2016-01-22,5390,5600,5320,5580,139755,5580,0.017457475380483478
2016-01-21,5430,5510,5190,5210,143926,5210,-0.06069692541412797
2016-01-20,5530,5570,5130,5140,150928,5140,-0.10366074664733593
2016-01-19,5540,5770,5470,5770,83114,5770,-0.007677505093186321
2016-01-18,5390,5560,5340,5550,195584,5550,-0.10547742413027383
2016-01-15,6140,6140,5860,5890,132628,5890,-0.01998519615099925
2016-01-14,5860,5990,5790,5990,371407,5990,-0.01586642940014904
2016-01-13,6530,6790,6520,6790,121788,6790,-0.019428985702973134
2016-01-12,6320,6360,6110,6160,221125,6160,-0.01780146941706573
2016-01-08,6430,6820,6360,6730,485686,6730,-0.0644205849685302
2016-01-07,7310,7360,6870,6920,291436,6920,-0.05882352941176472
2016-01-06,7570,7570,7290,7400,93736,7400,-0.013113161728994682
2016-01-05,7500,7610,7460,7520,219397,7520,0.004653567735263708
2016-01-04,7930,7970,7550,7630,105521,7630,-0.042512123550139
2015-12-30,8230,8240,8180,8200,124243,8200,0.06130705255598312
2015-12-29,8080,8100,8040,8090,122183,8090,0.08706467661691564
2015-12-28,7900,7980,7850,7860,41020,7860,0.05381431105854517
2015-12-25,7920,7980,7850,7850,93360,7850,0.158195679797
2015-12-24,8100,8140,7980,7980,255876,7980,0.15819567979669635
2015-12-22,7810,7860,7750,7790,168994,7790,0.0734939759036144
2015-12-21,7440,7600,7410,7600,282455,7600,0.006417058480371107
2015-12-18,7850,8060,7710,7790,170485,7790,-0.013043525939926304
2015-12-17,8250,8270,8130,8270,236639,8270,0.017423388731605538
2015-12-16,7910,8000,7890,7970,254119,7970,0.014557613966539096
2015-12-15,7480,7510,7370,7410,191715,7410,-0.015751836956952814
2015-12-14,7070,7290,7050,7290,726586,7290,-0.013198416190057238
2015-12-11,8340,8440,8330,8400,110981,8400,-0.030340263646587262
2015-12-10,8820,8820,8370,8550,179234,8550,-0.0010341261633919352
2015-12-09,8910,8970,8890,8970,98436,8970,-0.03212651544484879
2015-12-08,9250,9280,9090,9100,54344,9100,0.009659090909090784
2015-12-07,9320,9400,9320,9350,187594,9350,0.04292929292929282
2015-12-04,8850,8900,8800,8870,231689,8870,0.09588116137744773
2015-12-03,9360,9450,9350,9430,37002,9430,0.011595747565116055
2015-12-02,9560,9590,9540,9580,109027,9580,0.054054054054053946
2015-12-01,9220,9360,9220,9360,40772,9360,0.09884117246080448
2015-11-30,9110,9160,9060,9090,26928,9090,0.05269690345300093
2015-11-27,9260,9340,9180,9260,58814,9260,0.13624338624338628
2015-11-26,9230,9240,9210,9220,70455,9220,0.09479921000658331
2015-11-25,8980,9040,8940,9010,19684,9010,0.10401579986833442
2015-11-24,9130,9150,9070,9070,170481,9070,0.09416195856873832
2015-11-20,8720,8750,8660,8750,32346,8750,0.12669683257918551
2015-11-19,8930,8940,8860,8920,96668,8920,0.07004120070629782
2015-11-18,8570,8630,8500,8560,67580,8560,0.05459940652818984
2015-11-17,8770,8940,8750,8890,190552,8890,0.007430997876857859
2015-11-16,7940,8100,7910,8070,236857,8070,-0.004955947136563887
2015-11-13,8950,8950,8720,8780,145420,8780,0.01195219123505975
2015-11-12,9440,9580,9440,9550,19026,9550,0.010887261247291002
2015-11-11,9650,9710,9610,9630,16310,9630,0.04420928046135009
2015-11-10,9410,9570,9390,9570,64028,9570,0.061478090255068674
2015-11-09,9900,9990,9890,9990,122257,9990,0.030266343825665842
2015-11-06,9650,9690,9590,9690,36229,9690,0.09420795533845072
2015-11-05,9440,9500,9370,9500,16153,9500,0.06445182724252474
2015-11-04,9630,9740,9620,9640,96005,9640,0.07865892972275956
2015-11-02,9360,9360,9200,9230,29034,9230,0.12226148409894
2015-10-30,9610,9740,9610,9730,65063,9730,0.10285335102853366
2015-10-29,9650,9670,9540,9560,93696,9560,0.107460643394935
2015-10-28,9430,9480,9390,9430,57505,9430,0.1144452198185626
2015-10-27,9260,9320,9080,9180,29401,9180,0.0680492546986391
2015-10-26,9530,9550,9260,9260,76082,9260,0.10725964682799227
2015-10-23,9810,9850,9630,9650,163714,9650,0.14799446749654233
2015-10-22,9070,9150,9010,9110,96946,9110,0.10865051903114198
2015-10-21,9410,9760,9410,9650,67059,9650,0.09161670110079645
2015-10-20,9720,9850,9720,9820,248446,9820,0.02031746031746029
2015-10-19,9230,9310,9120,9120,67440,9120,0.020026702269692942
2015-10-16,9210,9230,9160,9170,146541,9170,0.06976744186046524
2015-10-15,8600,9110,8560,8820,64596,8820,0.03239881821799484
2015-10-14,8580,8700,8540,8640,68104,8640,0.016084247582681677
2015-10-13,9300,9370,9170,9220,201991,9220,0.03395585738539886
2015-10-09,8610,8770,8610,8740,123909,8740,0.06440281030444983
2015-10-08,8380,8450,8180,8240,88343,8240,0.0579793340987369
2015-10-07,8060,8250,8010,8250,37997,8250,0.05869565217391304
2015-10-06,8240,8270,8090,8150,134615,8150,0.04742268041237119
2015-10-05,7900,7920,7760,7870,67635,7870,0.017400152640729027
2015-10-02,7500,7660,7500,7620,32494,7620,0.006208165892637618
2015-10-01,7400,7670,7350,7570,56572,7570,-0.014190643644817813
2015-09-30,7190,7380,7150,7380,67507,7380,-0.06040816326530618
2015-09-29,7170,7170,7000,7050,119663,7050,-0.10995154677599694
2015-09-28,7600,7700,7450,7700,81315,7700,-0.1288454263063853
2015-09-25,7920,8150,7770,8000,118198,8000,-0.05503814330913881
2015-09-24,7950,8150,7800,7940,91053,7940,-0.0677460190773761
2015-09-18,8790,8790,8580,8690,160041,8690,-0.03411135394473286
2015-09-17,9040,9250,9020,9160,168731,9160,-0.03358557396336681
2015-09-16,8500,8660,8450,8560,137198,8560,-0.1110070257611242
2015-09-15,7720,7850,7700,7830,36662,7830,0.0013309227448570216
2015-09-14,7980,7980,7670,7670,68862,7670,-0.021443298969072155
2015-09-11,7650,7790,7600,7700,71768,7700,0.025862024747326462
2015-09-10,7400,7610,7300,7590,89586,7590,0.013541197638851088
2015-09-09,7650,8070,7530,8070,89632,8070,-0.015630956919557737
2015-09-08,7110,7220,6950,7140,35918,7140,-0.011244979919678655
2015-09-07,7000,7250,6750,7150,81174,7150,-0.0406474475053038
2015-09-04,7600,7610,7250,7400,163736,7400,0.007913705320636844
2015-09-03,8000,8020,7540,7650,115474,7650,0.0003904334091981987
2015-09-02,7080,7630,7000,7400,222750,7400,-0.0042161747796090054
2015-09-01,8040,8100,7240,7530,168423,7530,-0.05318471337579611
2015-08-31,8200,8730,8200,8450,141594,8450,-0.07034822370735139
2015-08-28,10110,10410,9230,9250,108387,9250,-0.06218806380760322
2015-08-27,10850,11490,10040,10100,160709,10100,-0.07356321839080471
2015-08-26,9490,10840,9150,10840,138387,10840,-0.21734828496042213
2015-08-25,9150,9980,8880,9340,349604,9340,-0.2970571904497502
2015-08-24,11300,11390,10050,10050,184513,10050,-0.3834070013054982
2015-08-21,13320,13320,13020,13050,116743,13050,-0.2900464042081198
2015-08-20,14630,14800,14500,14790,36910,14790,-0.09508877194821164
2015-08-19,14910,15070,14790,14790,6843,14790,0.030819672131147557
2015-08-18,15090,15120,15080,15080,13369,15080,0.035532994923857864
2015-08-17,15040,15040,14920,14960,3569,14960,0.06144393241167445
2015-08-14,14920,15040,14690,14940,4341,14940,0.11301636788776293
2015-08-13,14940,15070,14790,15010,15296,15010,0.05114899925871019
2015-08-12,15130,15130,14410,14600,33584,14600,0.05216752387950052
2015-08-11,15400,15450,14990,15050,53312,15050,0.05543398978847547
2015-08-10,14910,15200,14910,15140,3379,15140,0.10956663941128375
2015-08-07,14940,14980,14800,14920,7476,14920,0.06646751306945475
2015-08-06,15190,15190,15060,15080,23544,15080,0.05083514887436458
2015-08-05,15140,15140,14990,14990,798,14990,0.11350919264588333
2015-08-04,15100,15180,15070,15120,5383,15120,0.08615384615384603
2015-08-03,15040,15040,14810,14860,15307,14860,0.10509554140127397
2015-07-31,14980,15050,14950,15010,15923,15010,0.15264026402640285
2015-07-30,14880,14930,14810,14860,10391,14860,0.14839241549876325
2015-07-29,14600,14700,14580,14580,24460,14580,0.12559999999999993
2015-07-28,13750,14230,13550,14220,56411,14220,0.06994047619047628
2015-07-27,14380,14490,14280,14470,28297,14470,0.011538461538461497
2015-07-24,14800,15100,14800,14860,14841,14860,0.08442503639010179
2015-07-23,15080,15190,15050,15050,27241,15050,0.12974683544303778
2015-07-22,14850,14850,14550,14590,10596,14590,0.16996699669966997
2015-07-21,15000,15100,14980,15090,13916,15090,0.013093289689034338
2015-07-17,14680,14800,14650,14700,31722,14700,0.08200836820083679
2015-07-16,13990,14310,13960,14250,24572,14250,0.06771263418662254
2015-07-15,13630,13800,13610,13640,42660,13640,0.05593348450491309
2015-07-14,13490,13600,13110,13530,88923,13530,0.05235602094240854
2015-07-13,12340,12410,11950,12290,6782,12290,0.04100719424460442
2015-07-10,11600,12060,11600,12040,49123,12040,-0.0035650623885917776
2015-07-09,11510,12680,11220,12040,79664,12040,-0.057586332377883354
2015-07-08,12890,12890,12130,12130,35761,12130,-0.0625635808748729
2015-07-07,12400,12700,12380,12590,68425,12590,0.01429459291485391
2015-07-06,11650,12150,11350,11730,81947,11730,0.012933568489124081
